title,link,published,country,source,summary,Combined_Text,Language
How Trump-Ramaphosa confrontation went down in South Africa,https://www.bbc.com/news/articles/cz9yyd2epk2o,"Thu, 22 May 2025 01:42:25 GMT",UK,BBC,"Right-wing Afrikaners groups celebrated the ambush but others in the Rainbow Nation found it ""uncomfortable"" to watch.","How Trump-Ramaphosa confrontation went down in South Africa Right-wing Afrikaners groups celebrated the ambush but others in the Rainbow Nation found it ""uncomfortable"" to watch.",en
Train hits tractor and trailer on level crossing,https://www.bbc.com/news/articles/cly3885e58no,"Thu, 22 May 2025 12:00:13 GMT",UK,BBC,"The train has not been derailed, but some people on board the Manchester-to -Cardiff service have been injured.","Train hits tractor and trailer on level crossing The train has not been derailed, but some people on board the Manchester-to -Cardiff service have been injured.",en
'World's greatest designer' Jony Ive joins OpenAI to 'reimagine' computers,https://www.bbc.com/news/articles/c5y66yemjdmo,"Thu, 22 May 2025 10:39:50 GMT",UK,BBC,"The man who designed the iPad, iMac and iPhone will try to come up with a new generation of products for the AI era.","'World's greatest designer' Jony Ive joins OpenAI to 'reimagine' computers The man who designed the iPad, iMac and iPhone will try to come up with a new generation of products for the AI era.",en
Kneecap member charged with terror offence,https://www.bbc.com/news/articles/cx2qq2n3800o,"Thu, 22 May 2025 07:23:10 GMT",UK,BBC,"Liam Ó hAnnaidh, 27, has been charged after allegedly displaying a flag in support of Hezbollah, the Met Police says.","Kneecap member charged with terror offence Liam Ó hAnnaidh, 27, has been charged after allegedly displaying a flag in support of Hezbollah, the Met Police says.",en
What has changed 10 years after Ireland's gay marriage referendum?,https://www.bbc.com/news/articles/czx0dq75zgno,"Wed, 21 May 2025 23:00:18 GMT",UK,BBC,BBC News NI speaks to three couples to find out how they feel the last decade has been.,What has changed 10 years after Ireland's gay marriage referendum? BBC News NI speaks to three couples to find out how they feel the last decade has been.,en
"M&S website back online, allowing users to browse",https://www.bbc.com/news/articles/c0k374x1y8do,"Thu, 22 May 2025 06:43:02 GMT",UK,BBC,"After going down overnight, the website is open for browsing again, but online orders remain suspended after the recent cyber attack.","M&S website back online, allowing users to browse After going down overnight, the website is open for browsing again, but online orders remain suspended after the recent cyber attack.",en
BBC News app,https://www.bbc.co.uk/news/10628994,"Wed, 30 Apr 2025 14:04:28 GMT",UK,BBC,"Top stories, breaking news, live reporting, and follow news topics that match your interests","BBC News app Top stories, breaking news, live reporting, and follow news topics that match your interests",en
Are Israel’s Allies Turning Against Them?,https://www.bbc.co.uk/sounds/play/p0lcdr4v,"Tue, 20 May 2025 17:07:00 GMT",UK,BBC,UK suspends Israel trade talks and summons ambassador over “intolerable” Gaza offensive,Are Israel’s Allies Turning Against Them? UK suspends Israel trade talks and summons ambassador over “intolerable” Gaza offensive,en
We speak to CNN's Jake Tapper on the “cover-up” behind Joe Biden’s decline,https://www.bbc.co.uk/sounds/play/p0lbz44b,"Sun, 18 May 2025 06:02:00 GMT",UK,BBC,"New claims of who was involved at the White House, and when it started","We speak to CNN's Jake Tapper on the “cover-up” behind Joe Biden’s decline New claims of who was involved at the White House, and when it started",en
Yinka Bokinni explores the life of Sean 'Diddy' Combs,https://www.bbc.co.uk/iplayer/episode/m002bl0x?at_mid=uw1B7PiZo5&at_campaign=P_Diddy_The_Rise_and_Fall&at_medium=display_ad&at_campaign_type=owned&at_audience_id=SS&at_product=iplayer&at_brand=m002bl0x&at_ptr_name=bbc&at_ptr_type=media&at_format=image&at_objective=consumption&at_link_title=P_Diddy_The_Rise_and_Fall&at_bbc_team=BBC,"Mon, 28 Apr 2025 20:00:00 GMT",UK,BBC,Yinka Bokinni explores rap mogul Sean Combs's life and the criminal charges he denies.,Yinka Bokinni explores the life of Sean 'Diddy' Combs Yinka Bokinni explores rap mogul Sean Combs's life and the criminal charges he denies.,en
A unique perspective on a turbulent year in the Lake District,https://www.bbc.co.uk/iplayer/episode/m002d2fv?at_mid=bsTt398yMn&at_campaign=The_Lake_District_A_Wild_Year_Sheep&at_medium=display_ad&at_campaign_type=owned&at_audience_id=SS&at_product=iplayer&at_brand=m002d2fv&at_ptr_name=bbc&at_ptr_type=media&at_format=image&at_objective=consumption&at_link_title=The_Lake_District_A_Wild_Year_Sheep&at_bbc_team=BBC,"Wed, 21 May 2025 19:00:00 GMT",UK,BBC,Shepherds and sheepdogs oversee the flocks of pregnant sheep returning from the mountains.,A unique perspective on a turbulent year in the Lake District Shepherds and sheepdogs oversee the flocks of pregnant sheep returning from the mountains.,en
'I play 20 minutes' - Garnacho puts Man Utd future in doubt,https://www.bbc.com/sport/football/articles/c071dzv9z94o,"Thu, 22 May 2025 06:48:44 GMT",UK,BBC,Manchester United winger Alejandro Garnacho questions Ruben Amorim's team selection after defeat by Tottenham in Europa League final.,'I play 20 minutes' - Garnacho puts Man Utd future in doubt Manchester United winger Alejandro Garnacho questions Ruben Amorim's team selection after defeat by Tottenham in Europa League final.,en
Tottenham trio forced to wait for winner's medal,https://www.bbc.com/sport/football/articles/cjrnl7ndn5lo,"Thu, 22 May 2025 08:06:59 GMT",UK,BBC,"Amid the celebrations that followed Tottenham's Europa League triumph, three players were left waiting for their winner's medal.","Tottenham trio forced to wait for winner's medal Amid the celebrations that followed Tottenham's Europa League triumph, three players were left waiting for their winner's medal.",en
'Boxing's like a cult' - meet the new promoter hitting the big stage,https://www.bbc.com/sport/boxing/articles/c74qqyz8589o,"Thu, 22 May 2025 07:17:22 GMT",UK,BBC,Izzy Asif shares his journey from hustling football tickets on Sheffield's terraces to a boxing promoter putting on a world-title stadium fight.,'Boxing's like a cult' - meet the new promoter hitting the big stage Izzy Asif shares his journey from hustling football tickets on Sheffield's terraces to a boxing promoter putting on a world-title stadium fight.,en
"Suryavanshi, 14, in India U19 squad for England tour",https://www.bbc.com/sport/cricket/articles/cn8z1zzkl8zo,"Thu, 22 May 2025 10:10:37 GMT",UK,BBC,Fourteen-year-old batter Vaibhav Suryavanshi has been named in India's Under-19s squad for this summer's multi-format tour of England.,"Suryavanshi, 14, in India U19 squad for England tour Fourteen-year-old batter Vaibhav Suryavanshi has been named in India's Under-19s squad for this summer's multi-format tour of England.",en
Crawley's 'wonderful' half-century puts England in control,https://www.bbc.com/sport/cricket/videos/cewdde1zl7no,"Thu, 22 May 2025 12:10:10 GMT",UK,BBC,"Zak Crawley's ""wonderful"" half-century helps England to 112-0 in the first innings of their test match against Zimbabwe at Trent Bridge.","Crawley's 'wonderful' half-century puts England in control Zak Crawley's ""wonderful"" half-century helps England to 112-0 in the first innings of their test match against Zimbabwe at Trent Bridge.",en
Trump pleads not guilty to 34 felony counts,https://edition.cnn.com/webview/politics/live-news/trump-indictment-stormy-daniels-news-04-03-23/index.html,,USA,CNN,,Trump pleads not guilty to 34 felony counts ,en
Haberman reveals why Trump attacked judge and his family in speech,https://www.cnn.com/videos/politics/2023/04/05/maggie-haberman-donald-trump-speech-indictment-reaction-sot-cnntm-vpx.cnn,"Wed, 05 Apr 2023 13:30:09 GMT",USA,CNN,CNN political contributor Maggie Haberman explains the reasoning behind Donald Trump's attacks on the judge and his family during a speech at his Mar-a-Lago resort after he was arraigned on felony charges.,Haberman reveals why Trump attacked judge and his family in speech CNN political contributor Maggie Haberman explains the reasoning behind Donald Trump's attacks on the judge and his family during a speech at his Mar-a-Lago resort after he was arraigned on felony charges.,en
What to know about the Trump indictment on the eve of his court appearance,https://www.cnn.com/collections/intl-trump-040223/,"Wed, 05 Apr 2023 22:50:06 GMT",USA,CNN,,What to know about the Trump indictment on the eve of his court appearance ,en
READ: Trump indictment related to hush money payment,https://cnn.it/411KYN7,,USA,CNN,,READ: Trump indictment related to hush money payment ,en
Russian authorities detain suspect over St. Petersburg cafe blast,https://edition.cnn.com/webview/europe/live-news/russia-ukraine-war-news-04-03-23/index.html,,USA,CNN,,Russian authorities detain suspect over St. Petersburg cafe blast ,en
Video shows moment of deadly explosion at cafe in Russia,https://www.cnn.com/videos/world/2023/04/02/russian-military-blogger-vladlen-tatarsky-killed-cafe-explosion-chance-vpx.cnn,"Tue, 04 Apr 2023 01:08:44 GMT",USA,CNN,"A well-known Russian military blogger, Vladlen Tatarsky, was killed in an explosion at a cafe in St. Petersburg, authorities said. CNN's Matthew Chance reports.","Video shows moment of deadly explosion at cafe in Russia A well-known Russian military blogger, Vladlen Tatarsky, was killed in an explosion at a cafe in St. Petersburg, authorities said. CNN's Matthew Chance reports.",en
"Wall Street Journal reporter Evan Gershkovich appeals against arrest, Russian state media says",https://www.cnn.com/collections/intl-ukraine-030423/,"Mon, 03 Apr 2023 13:58:58 GMT",USA,CNN,,"Wall Street Journal reporter Evan Gershkovich appeals against arrest, Russian state media says ",en
Suspected Chinese spy balloon was able to transmit information back to Beijing,https://www.cnn.com/2023/04/03/politics/chinese-spy-balloon/index.html,"Mon, 03 Apr 2023 13:38:22 GMT",USA,CNN,"The suspected Chinese spy balloon that transited the US earlier this year was able to capture imagery and collect some signals intelligence from US military sites, a source familiar with the matter tells CNN.","Suspected Chinese spy balloon was able to transmit information back to Beijing The suspected Chinese spy balloon that transited the US earlier this year was able to capture imagery and collect some signals intelligence from US military sites, a source familiar with the matter tells CNN.",en
Beijing promised to 'fight back' over Taiwan leader's US visit. But this time it has more to lose,https://www.cnn.com/2023/04/04/asia/tsai-ing-wen-taiwan-mccarthy-meeting-analysis-intl-hnk/index.html,"Tue, 04 Apr 2023 07:49:53 GMT",USA,CNN,An anticipated meeting between Taiwan's President Tsai Ing-wen and US House Speaker Kevin McCarthy in California this week has sparked concerns of a repeat of the pressure campaign China launched last year when then-Speaker Nancy Pelosi visited Taipei.,Beijing promised to 'fight back' over Taiwan leader's US visit. But this time it has more to lose An anticipated meeting between Taiwan's President Tsai Ing-wen and US House Speaker Kevin McCarthy in California this week has sparked concerns of a repeat of the pressure campaign China launched last year when then-Speaker Nancy Pelosi visited Taipei.,en
"'Scary, cold, hungry and lonely': Volunteer soldier shares experience on front line",https://www.cnn.com/videos/world/2023/04/03/soldiers-russia-ukraine-war-david-mckenzie-pkg-ovn-intl-ldn-vpx.cnn,"Mon, 03 Apr 2023 12:13:24 GMT",USA,CNN,"A young volunteer soldier, Akula, who signed up for the war at the beginning of the Russian invasion is now dealing with the trauma of war. He spoke to CNN's David McKenzie about his time on the front lines and how it has affected his mental health.","'Scary, cold, hungry and lonely': Volunteer soldier shares experience on front line A young volunteer soldier, Akula, who signed up for the war at the beginning of the Russian invasion is now dealing with the trauma of war. He spoke to CNN's David McKenzie about his time on the front lines and how it has affected his mental health.",en
The four astronauts NASA picked for the first crewed moon mission in 50 years,https://www.cnn.com/2023/04/03/world/artemis-2-astronaut-crew-scn/index.html,"Tue, 04 Apr 2023 11:44:30 GMT",USA,CNN,"Astronauts who will helm the first crewed moon mission in five decades were revealed on Monday, queuing up the quartet to begin training for the historic Artemis II lunar flyby that is set to take off in November 2024.","The four astronauts NASA picked for the first crewed moon mission in 50 years Astronauts who will helm the first crewed moon mission in five decades were revealed on Monday, queuing up the quartet to begin training for the historic Artemis II lunar flyby that is set to take off in November 2024.",en
French minister under fire for Playboy magazine cover,https://www.cnn.com/2023/04/02/europe/french-minister-playboy-cover-intl/index.html,"Mon, 03 Apr 2023 11:54:59 GMT",USA,CNN,French government minister Marlene Schiappa has come under fire from members of her own party after appearing on the front cover of Playboy magazine.,French minister under fire for Playboy magazine cover French government minister Marlene Schiappa has come under fire from members of her own party after appearing on the front cover of Playboy magazine.,en
Why did Finland's PM lose? Reporter explains the key issue voters cared about,https://www.cnn.com/videos/world/2023/04/03/finland-prime-minister-sanna-marin-concedes-election-right-wing-party-wins-ovn-intl-ldn-vpx.cnn,"Mon, 03 Apr 2023 10:06:11 GMT",USA,CNN,Finland's left-wing Prime Minister Sanna Marin conceded defeat in the country's parliamentary election as the opposition right-wing National Coalition Party claimed victory in a tightly fought contest. CNN's Laila Harrak spoke with New York Times' Chief Diplomatic Correspondent Steven Erlanger to discuss how the popular politician lost the election.,Why did Finland's PM lose? Reporter explains the key issue voters cared about Finland's left-wing Prime Minister Sanna Marin conceded defeat in the country's parliamentary election as the opposition right-wing National Coalition Party claimed victory in a tightly fought contest. CNN's Laila Harrak spoke with New York Times' Chief Diplomatic Correspondent Steven Erlanger to discuss how the popular politician lost the election.,en
Britain's pound is beating every other major currency this year,https://www.cnn.com/2023/04/04/investing/british-pound-currency-dollar/index.html,"Tue, 04 Apr 2023 18:49:31 GMT",USA,CNN,"The British pound crashed to a record low last fall as investors rebelled against budget plans by former Prime Minister Liz Truss. Now, it's enjoying a comeback.","Britain's pound is beating every other major currency this year The British pound crashed to a record low last fall as investors rebelled against budget plans by former Prime Minister Liz Truss. Now, it's enjoying a comeback.",en
Finland's Prime Minister Sanna Marin concedes election,https://www.cnn.com/2023/04/02/europe/sanna-marin-finland-elections-concedes-intl/index.html,"Mon, 03 Apr 2023 10:24:55 GMT",USA,CNN,Finland's left-wing Prime Minister Sanna Marin conceded defeat on Sunday in the Nordic country's parliamentary election as the opposition right-wing National Coalition Party (NCP) claimed victory in a tightly fought contest.,Finland's Prime Minister Sanna Marin concedes election Finland's left-wing Prime Minister Sanna Marin conceded defeat on Sunday in the Nordic country's parliamentary election as the opposition right-wing National Coalition Party (NCP) claimed victory in a tightly fought contest.,en
Hundreds of millions at risk from Chinese shopping app malware,https://cnn.it/40OSomK,,USA,CNN,,Hundreds of millions at risk from Chinese shopping app malware ,en
The $500 billion beauty industry's 'green' ambitions are a patchwork at best. And they're falling short,https://www.cnn.com/style/article/beauty-skincare-climate/index.html,"Thu, 06 Apr 2023 20:09:14 GMT",USA,CNN,"The escalating climate crisis is shifting many people's purchasing patterns and this extends to the $500 billion dollar global beauty industry which is grappling with a range of sustainability challenges across product manufacturing, packaging and disposal.","The $500 billion beauty industry's 'green' ambitions are a patchwork at best. And they're falling short The escalating climate crisis is shifting many people's purchasing patterns and this extends to the $500 billion dollar global beauty industry which is grappling with a range of sustainability challenges across product manufacturing, packaging and disposal.",en
A new approach to a Covid-19 nasal vaccine shows early promise,https://www.cnn.com/2023/04/03/health/nasal-vaccine-sterilizing-immunity/index.html,"Mon, 03 Apr 2023 19:04:07 GMT",USA,CNN,"Scientists in Germany say they've been able to make a nasal vaccine that can shut down a Covid-19 infection in the nose and throat, where the virus gets its first foothold in the body.","A new approach to a Covid-19 nasal vaccine shows early promise Scientists in Germany say they've been able to make a nasal vaccine that can shut down a Covid-19 infection in the nose and throat, where the virus gets its first foothold in the body.",en
Video shows moment man throws yogurt on two women in Iran,https://www.cnn.com/videos/world/2023/04/03/man-throws-yogurt-on-women-iran-president-raisi-hijab-is-law-nada-bashir-ovn-intl-ldn-vpx.cnn,"Mon, 03 Apr 2023 10:17:00 GMT",USA,CNN,"Video shows an incident at a store in the Iranian city of Shandiz where a man approached two unveiled women before proceeding to grab a tub of yogurt from the store and throw it, hitting both women in the head. The video then appears to show a male staff member removing the suspect from the store. CNN is not able to verify what was said immediately before the confrontation.","Video shows moment man throws yogurt on two women in Iran Video shows an incident at a store in the Iranian city of Shandiz where a man approached two unveiled women before proceeding to grab a tub of yogurt from the store and throw it, hitting both women in the head. The video then appears to show a male staff member removing the suspect from the store. CNN is not able to verify what was said immediately before the confrontation.",en
"Israeli military veterans, a backbone of protest movement, vow to keep demonstrating",https://www.cnn.com/2023/04/03/middleeast/israel-protests-military-veterans-intl-cmd/index.html,"Mon, 03 Apr 2023 17:22:51 GMT",USA,CNN,"In a sea of Israeli flags, Yiftach Golov holds one that looks a little different.","Israeli military veterans, a backbone of protest movement, vow to keep demonstrating In a sea of Israeli flags, Yiftach Golov holds one that looks a little different.",en
Erdogan's political fate may be determined by Turkey's Kurds,https://www.cnn.com/2023/04/03/middleeast/kurdish-kingmaker-turkish-elections-mime-intl/index.html,"Mon, 03 Apr 2023 14:54:00 GMT",USA,CNN,"Turkey's persecuted pro-Kurdish party has emerged as a kingmaker in the country's upcoming election, playing a decisive role that may just tip the balance enough to unseat two-decade ruler Recep Tayyip Erdogan.","Erdogan's political fate may be determined by Turkey's Kurds Turkey's persecuted pro-Kurdish party has emerged as a kingmaker in the country's upcoming election, playing a decisive role that may just tip the balance enough to unseat two-decade ruler Recep Tayyip Erdogan.",en
Dogecoin jumps after Elon Musk replaces Twitter bird with Shiba Inu,https://www.cnn.com/2023/04/03/investing/dogecoin-elon-musk-twitter/index.html,"Mon, 03 Apr 2023 20:48:03 GMT",USA,CNN,"Twitter's traditional bird icon was booted and replaced with an image of a Shiba Inu, an apparent nod to dogecoin, the joke cryptocurrency that CEO Elon Musk is being sued over.","Dogecoin jumps after Elon Musk replaces Twitter bird with Shiba Inu Twitter's traditional bird icon was booted and replaced with an image of a Shiba Inu, an apparent nod to dogecoin, the joke cryptocurrency that CEO Elon Musk is being sued over.",en
Micron Technology: China probes US chip maker for cybersecurity risks as tech tension escalates,https://www.cnn.com/2023/04/03/tech/china-micron-probe-us-chip-war-intl-hnk/index.html,"Tue, 04 Apr 2023 03:17:15 GMT",USA,CNN,"China has launched a cybersecurity probe into Micron Technology, one of America's largest memory chip makers, in apparent retaliation after US allies in Asia and Europe announced new restrictions on the sale of key technology to Beijing.","Micron Technology: China probes US chip maker for cybersecurity risks as tech tension escalates China has launched a cybersecurity probe into Micron Technology, one of America's largest memory chip makers, in apparent retaliation after US allies in Asia and Europe announced new restrictions on the sale of key technology to Beijing.",en
Man rides out tornado inside van. See the footage,https://www.cnn.com/videos/weather/2023/04/02/little-rock-arkansas-tornado-man-inside-van-cnntmw-vpx.cnn,"Sun, 02 Apr 2023 11:07:02 GMT",USA,CNN,"Cody Coombes recounts riding out a tornado in Little Rock, Arkansas, inside his pest control van. The National Weather Service reported that an EF-3 tornado had roared through Pulaski and Lonoke counties with estimated peak winds of 165 mph, killing one person in North Little Rock and four people in Wynne.","Man rides out tornado inside van. See the footage Cody Coombes recounts riding out a tornado in Little Rock, Arkansas, inside his pest control van. The National Weather Service reported that an EF-3 tornado had roared through Pulaski and Lonoke counties with estimated peak winds of 165 mph, killing one person in North Little Rock and four people in Wynne.",en
"China Renaissance suspends trading, delays results after founder's disappearance",https://www.cnn.com/2023/04/03/investing/china-renaissance-delays-results-missing-ceo-intl-hnk/index.html,"Mon, 03 Apr 2023 11:42:19 GMT",USA,CNN,"China Renaissance, a top dealmaker in the country's tech industry, said it would suspend trading of its shares and delay the release of its annual results because it still can't get in touch with its founder.","China Renaissance suspends trading, delays results after founder's disappearance China Renaissance, a top dealmaker in the country's tech industry, said it would suspend trading of its shares and delay the release of its annual results because it still can't get in touch with its founder.",en
HSBC's top execs face tense shareholders calling for a breakup,https://www.cnn.com/2023/04/03/business/hsbc-spin-off-hk-shareholder-meeting-intl-hnk/index.html,"Mon, 03 Apr 2023 12:31:48 GMT",USA,CNN,"HSBC's top brass defended their strategy Monday to frustrated shareholders in the lender's largest market, as Europe's biggest bank continued to face calls to be split up.","HSBC's top execs face tense shareholders calling for a breakup HSBC's top brass defended their strategy Monday to frustrated shareholders in the lender's largest market, as Europe's biggest bank continued to face calls to be split up.",en
Lawmaker speaks out about his struggle with depression,https://www.cnn.com/videos/politics/2023/04/02/john-fetterman-depression-downward-spiral-acostanr-sot-vpx.cnn,"Sun, 02 Apr 2023 23:11:47 GMT",USA,CNN,Sen. John Fetterman (D-PA) spoke to CBS about battling with depression after winning a tight election.,Lawmaker speaks out about his struggle with depression Sen. John Fetterman (D-PA) spoke to CBS about battling with depression after winning a tight election.,en
CEOs are tired of being held responsible for gun regulation,https://www.cnn.com/2023/04/03/investing/premarket-stocks-trading/index.html,"Mon, 03 Apr 2023 11:19:35 GMT",USA,CNN,"Americans have grown used to corporate executives treading the well-worn paths of the Northeast corridor to convene alongside elected officials in Washington, DC, and discuss geopolitics, policy and all that's in-between.","CEOs are tired of being held responsible for gun regulation Americans have grown used to corporate executives treading the well-worn paths of the Northeast corridor to convene alongside elected officials in Washington, DC, and discuss geopolitics, policy and all that's in-between.",en
What pet cemeteries reveal about being human,https://www.cnn.com/2023/04/03/opinions/pet-cemeteries-burying-animals-history-tourigny/index.html,"Mon, 03 Apr 2023 15:03:47 GMT",USA,CNN,Why do we bury our departed loved ones in a cemetery? A primary purpose is to provide survivors with an opportunity to grieve and gain a sense of closure. The cemetery is a place for the living as much as it is a place for the dead.,What pet cemeteries reveal about being human Why do we bury our departed loved ones in a cemetery? A primary purpose is to provide survivors with an opportunity to grieve and gain a sense of closure. The cemetery is a place for the living as much as it is a place for the dead.,en
Scientists film deepest ever fish on seabed off Japan,https://www.cnn.com/2023/04/03/asia/deepest-fish-filmed-off-japan-scn-intl-hnk/index.html,"Tue, 18 Apr 2023 15:32:03 GMT",USA,CNN,"Cruising at a depth of 8,336 meters (over 27,000 feet) just above the seabed, a young snailfish has become the deepest fish ever filmed by scientists during a probe into the abyss of the northern Pacific Ocean.","Scientists film deepest ever fish on seabed off Japan Cruising at a depth of 8,336 meters (over 27,000 feet) just above the seabed, a young snailfish has become the deepest fish ever filmed by scientists during a probe into the abyss of the northern Pacific Ocean.",en
What OPEC's surprise oil cut means for gas prices,https://www.cnn.com/2023/04/03/energy/gas-prices-opec/index.html,"Tue, 04 Apr 2023 01:48:26 GMT",USA,CNN,OPEC and its allies' surprise move to slash oil production will soon be felt at US gas pumps.,What OPEC's surprise oil cut means for gas prices OPEC and its allies' surprise move to slash oil production will soon be felt at US gas pumps.,en
